observation_date,NGMP16980
2001-01-01,400104.424
2002-01-01,409176.653
2003-01-01,422310.363
2004-01-01,447719.689
2005-01-01,473543.324
2006-01-01,501765.019
2007-01-01,523643.162
2008-01-01,518266.599
2009-01-01,508376.298
2010-01-01,522690.312
2011-01-01,542907.145
2012-01-01,572069.394
2013-01-01,586400.648
2014-01-01,612092.086
2015-01-01,640542.188
2016-01-01,654041.831
2017-01-01,674568.186
2018-01-01,707911.107
2019-01-01,728631.746
2020-01-01,700007.944
2021-01-01,770533.358
2022-01-01,845186.849
2023-01-01,894862.364
